id,created,user_id,screen_name,gotv,text
1043244834256048130,9/21/2018 21:05,37481291,BarbaraComstock,0,Looks like @BarbaraComstock knocked it out of the park at the @LoudounChamber debate this morning. She’s done a great job for #VA10 and our Commonwealth. Know she will continue to be a leader in Congress.
1052610944369483776,10/17/2018 17:23,41363507,DeanHeller,0,"I like where we are headed, Jacky Rosen does not. We cannot afford to turn back the clock to the days of more regulations, higher taxes and sluggish growth. https://t.co/h83YZliGIR"
1053124180458127362,10/19/2018 3:22,84426342,lisa4congress,0,#ICYMI read about the overwhelming support for new leadership in #WA05! https://t.co/TXwulEs8xa
1040655296786391040,9/14/2018 17:35,327689443,KimberlinBrown,0,Our campaign is proud to receive an endorsement from House Majority Leader Kevin McCarthy (@GOPLeader)!🇺🇸   Click the link to find out more!  #Endorsement #KevinMcCarthy #TeamKimberlin   https://t.co/U7KwWleQz8
1059460329451802624,11/5/2018 15:00,415117361,KateBrownForOR,0,"Thanks to the student reporters at the @Clypian for your endorsement! ""Brown is the best choice for Oregon’s governor, due to the progress she has made and her stances on human rights, environmental protection, and education."" #TeamKate #orpol https://t.co/ghgF0e6mOa"
1052634331070562306,10/17/2018 18:55,23022687,tedcruz,0,"Ted Cruz has done so much for Texas, including massive cuts in taxes and regulations - which has brought Texas to the best jobs numbers in the history of the state. He watches carefully over your 2nd Amendment. O’Rourke would blow it all! Ted has long had my Strong Endorsement!"
1055962532173758465,10/26/2018 23:21,105924808,LadySunshineNM,0,Janice Arnold-Jones 2018 candidate for NM CD1 advocated for fair ballot access on NM House Voters and Elections Committee. https://t.co/OQRySNCU48  #abq_news #abqjournal #KOAT #kob4 #krqe #NM #nmpol #nwsalbuquerque #Republican #RockofTalk #WomenRun2018 https://t.co/v2H8FAwvRN
1056912200990932997,10/29/2018 14:14,119250381,CarolynBMaloney,1,A great morning fundraising &amp; postcarding for @HeidiHeitkamp in NY w/ #BlueWave2018 women @jessicaramos &amp; @Biaggi4NY.   I was proud to partner w Sen. Heitkamp on the #BreastCancerAwareness Commemorative Coin. You can buy yours here: https://t.co/49SSyKXFpA. https://t.co/LBslvS8dG1
1053353095831289857,10/19/2018 18:32,183062944,TeamHeinrich,0,One of the reasons Martin first ran for office was to be a voice for hard-working Americans like his parents. He will always fight for our workers and our unions — thanks to @AFLCIO for this recognition! https://t.co/anj3uTZXMn #UnionStrong https://t.co/crNSFi6Qge
1040612443943325697,9/14/2018 14:45,1321432124,WolfForPA,0,"Since taking office, I have: ✅Increased investments in Pre-K ✅Invested more in STEM programs ✅Restored the $1 billion dollar education cuts ✅Expanded career and technical education opportunities I am committed to keep investing in a thriving education system. https://t.co/b1LcIPky0C"
1047537710162829312,10/3/2018 17:23,20217019,dougducey,0,Excited to join @Tempegov for the IDEA campus groundbreaking. Global medical tech company @BDandCo will be its first tenant — with plans to create 100 NEW jobs in #Arizona over the next year. #AZMeansBiz @azcommerce https://t.co/0TkG7DF2lN
